Menopausal Stage,Irritability,Mood Changes,Sample Size
Pre-menopause,0.0055037156402710456,-0.05527477451442767,2812
Early Peri,0.0767863718965449,0.0687223006446423,8426
Late Peri,-0.01620338170304765,0.03535921420158888,1823
Post-menopause,-0.1035221586812613,-0.09290548569822729,7724
Surgical,0.14436187800072278,0.19864543153842945,1154
