Stage,N_Observations,Network_Density,Avg_Clustering,N_Edges,Avg_Correlation,Max_Correlation
Pre-menopause,2507,0.6666666666666666,0.5833333333333334,4,0.058371903365875194,0.531043699180623
Early Peri,5833,0.5,0.75,3,0.05188397962086024,0.5528507042072758
Late Peri,972,0.8333333333333334,0.8333333333333333,5,0.000961646653049586,0.5711237047570071
Post-menopause,3943,0.8333333333333334,0.8333333333333333,5,0.02748040835008094,0.5710449826532799
Surgical,585,1.0,1.0,6,-0.03242853098587816,0.6482715777375752
